student_answer,teacher_answer,label,question_id,q_answer,q_answer_ordered,q_stopwords,q_stopwords_ordered,q_stemmed,q_stem_ordered,q_lemm,q_lemm_ordered
It will not get light because the negative is getting to the motor.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,because get getting is it light motor negative not the the to will,light negative getting motor,getting light motor negative,light neg get motor,get light motor neg,light negative getting motor,getting light motor negative
It will not light because one wire has to go in one side and one wire has to go in the other.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",1,72,It will not get light because the negative is getting to the motor.,and because go go has has in in it light not one one one other side the to to will wire wire,light wire wire,light wire wire,light wire wire,light wire wire,light wire wire,light wire wire
There is not 2 wires for each little clip. There needs to be one coming from one clip and another coming from the other clip.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",1,72,It will not get light because the negative is getting to the motor.,2 and another be clip clip clip coming coming each for from from is little needs not one one other the there there to wires,2 wires little clip needs coming clip coming clip,2 clip clip clip coming coming little needs wires,2 wire littl clip need come clip come clip,2 clip clip clip come come littl need wire,2 wire little clip need coming clip coming clip,2 clip clip clip coming coming little need wire
The bulb will not light because one of the wires have to touch the other clip.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",1,72,It will not get light because the negative is getting to the motor.,because bulb clip have light not of one other the the the to touch will wires,bulb light wires touch clip,bulb clip light touch wires,bulb light wire touch clip,bulb clip light touch wire,bulb light wire touch clip,bulb clip light touch wire
Because the electricity is going to the motor.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,because electricity going is motor the the to,electricity going motor,electricity going motor,electr go motor,electr go motor,electricity going motor,electricity going motor
The bulb will not light because there is not enough electricity.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,because bulb electricity enough is light not not the there will,bulb light electricity,bulb electricity light,bulb light electr,bulb electr light,bulb light electricity,bulb electricity light
It will not because there has to be a wire in each wire holder.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",1,72,It will not get light because the negative is getting to the motor.,a be because each has holder in it not there to will wire wire,wire wire holder,holder wire wire,wire wire holder,holder wire wire,wire wire holder,holder wire wire
The cord from the battery is not on both sides.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,battery both cord from is not on sides the the,cord battery sides,battery cord sides,cord batteri side,batteri cord side,cord battery side,battery cord side
Because the bulb will not have enough energy because of the light bulb.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,because because bulb bulb energy enough have light not of the the will,bulb energy light bulb,bulb bulb energy light,bulb energi light bulb,bulb bulb energi light,bulb energy light bulb,bulb bulb energy light
Because the positive wire is taking the energy right away.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,away because energy is positive right taking the the wire,positive wire taking energy right away,away energy positive right taking wire,posit wire take energi right away,away energi posit right take wire,positive wire taking energy right away,away energy positive right taking wire
"Because, the electricity goes through the wrong way the second time.","The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,because electricity goes second the the the through time way wrong,electricity goes wrong way second time,electricity goes second time way wrong,electr goe wrong way second time,electr goe second time way wrong,electricity go wrong way second time,electricity go second time way wrong
There are 2 wires that should not be there the motor wires.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,2 are be motor not should that the there there wires wires,2 wires motor wires,2 motor wires wires,2 wire motor wire,2 motor wire wire,2 wire motor wire,2 motor wire wire
It going in a coil.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,a coil going in it,going coil,coil going,go coil,coil go,going coil,coil going
The wires are not even.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,are even not the wires,wires,wires,wire,wire,wire,wire
It is not connected properly because the wires are not connected properly on the motor.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,are because connected connected is it motor not not on properly properly the the wires,connected properly wires connected properly motor,connected connected motor properly properly wires,connect properli wire connect properli motor,connect connect motor properli properli wire,connected properly wire connected properly motor,connected connected motor properly properly wire
The bulb will no because the other wire is not connected.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,because bulb connected is no not other the the will wire,bulb wire connected,bulb connected wire,bulb wire connect,bulb connect wire,bulb wire connected,bulb connected wire
There is not enough energy.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,energy enough is not there,energy,energy,energi,energi,energy,energy
The battery does not have enough power or the power is not getting to the bulb.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,battery bulb does enough getting have is not not or power power the the the to,battery power power getting bulb,battery bulb getting power power,batteri power power get bulb,batteri bulb get power power,battery power power getting bulb,battery bulb getting power power
The motor is not running.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,is motor not running the,motor running,motor running,motor run,motor run,motor running,motor running
It will not light because when the electricity cannot flow through the wires.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,because cannot electricity flow it light not the the through when will wires,light electricity flow wires,electricity flow light wires,light electr flow wire,electr flow light wire,light electricity flow wire,electricity flow light wire
The bulb will not light up because they are all not connected and this does not make a circuit.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,a all and are because bulb circuit connected does light make not not not the they this up will,bulb light connected circuit,bulb circuit connected light,bulb light connect circuit,bulb circuit connect light,bulb light connected circuit,bulb circuit connected light
Because it is not in a circle.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,a because circle in is it not,circle,circle,circl,circl,circle,circle
It is in both the same circuit.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,both circuit in is it same the,circuit,circuit,circuit,circuit,circuit,circuit
The light bulb needs both plus and minus to be on different parts of the holder.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",1,72,It will not get light because the negative is getting to the motor.,and be both bulb different holder light minus needs of on parts plus the the to,light bulb needs plus minus different parts holder,bulb different holder light minus needs parts plus,light bulb need plu minu differ part holder,bulb differ holder light minu need part plu,light bulb need plus minus different part holder,bulb different holder light minus need part plus
It is not connected.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,connected is it not,connected,connected,connect,connect,connected,connected
More power goes to the motor.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,goes more motor power the to,power goes motor,goes motor power,power goe motor,goe motor power,power go motor,go motor power
The wires are not connecting to the bulb.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,are bulb connecting not the the to wires,wires connecting bulb,bulb connecting wires,wire connect bulb,bulb connect wire,wire connecting bulb,bulb connecting wire
The bulb will not light because the positive and negative wires are hooked on the same hook.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",1,72,It will not get light because the negative is getting to the motor.,and are because bulb hook hooked light negative not on positive same the the the will wires,bulb light positive negative wires hooked hook,bulb hook hooked light negative positive wires,bulb light posit neg wire hook hook,bulb hook hook light neg posit wire,bulb light positive negative wire hooked hook,bulb hook hooked light negative positive wire
It does not work because the wire are not propel on the spring thing.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,are because does it not not on propel spring the the thing wire work,work wire propel spring thing,propel spring thing wire work,work wire propel spring thing,propel spring thing wire work,work wire propel spring thing,propel spring thing wire work
Yes even though it is not a complete circuit.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,a circuit complete even is it not though yes,yes complete circuit,circuit complete yes,ye complet circuit,circuit complet ye,yes complete circuit,circuit complete yes
No because both wires are on both place.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,are because both both no on place wires,wires place,place wires,wire place,place wire,wire place,place wire
Some of the wires are disconnect.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,are disconnect of some the wires,wires disconnect,disconnect wires,wire disconnect,disconnect wire,wire disconnect,disconnect wire
It will not light because the bulbs wires are not connected to both sockets.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",1,72,It will not get light because the negative is getting to the motor.,are because both bulbs connected it light not not sockets the to will wires,light bulbs wires connected sockets,bulbs connected light sockets wires,light bulb wire connect socket,bulb connect light socket wire,light bulb wire connected socket,bulb connected light socket wire
Because the motor got all the power.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,all because got motor power the the,motor got power,got motor power,motor got power,got motor power,motor got power,got motor power
Because one side is hooked to the motor.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,because hooked is motor one side the to,hooked motor,hooked motor,hook motor,hook motor,hooked motor,hooked motor
The bulb will not work because the negative and the positive cannot go in the same way.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,and because bulb cannot go in negative not positive same the the the the way will work,bulb work negative positive way,bulb negative positive way work,bulb work neg posit way,bulb neg posit way work,bulb work negative positive way,bulb negative positive way work
"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.","The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",1,72,It will not get light because the negative is getting to the motor.,both bulb bulb can circuit contact does electricity go holder include not not on points so the the the the through,circuit include contact points bulb holder electricity bulb,bulb bulb circuit contact electricity holder include points,circuit includ contact point bulb holder electr bulb,bulb bulb circuit contact electr holder includ point,circuit include contact point bulb holder electricity bulb,bulb bulb circuit contact electricity holder include point
